mineral_name,count
diopside,7240
enstatite,6608
forsterite,6509
fluorapatite,5004
magnetite,3396
ilmenite,2812
hedenbergite,2633
ferrosilite,2522
phlogopite,1794
titanite,1794
chromite,1671
albite,1627
zircon,1231
muscovite,1165
orthoclase,795
leucite,700
fayalite,548
perovskite,485
rutile,416
almandine,323
chloroapatite,316
quartz,293
richterite,213
sodalite,162
dolomite,160
kaersutite,145
calcite,136
magnesiohornblende,135
andalusite,75
pargasite,74
grossular,61
actinolite,58
tschermakite,56
beryl,46
anorthite,39
azurite,39
malayaite,37
edenite,35
barite,34
analcime,33
kalsilite,32
cuprite,30
aegirine,29
cummingtonite,28
hematite,27
clinozoisite,25
laumontite,25
trevorite,25
paragonite,24
magnesiohastingsite,22
monticellite,22
anhydrite,20
chambersite,20
epidote,20
hydroxylapatite,20
liebenbergite,17
marokite,17
witherite,17
andradite,16
fluorite,16
powellite,16
boracite,15
ferroedenite,15
magnesite,15
schorl,15
celadonite,15
cordierite,14
katophorite,14
stilbite-ca,14
heulandite ca,13
johannsenite,13
malachite,13
sapphirine,13
wollastonite,13
barylite,12
chabazite-na,12
goethite,12
manganosite,12
fluorbuergerite,11
hauynite,11
chabazite-ca,10
halite,10
harmotome,10
pyrope,10
serendibite,10
